"","corp_code","sj_nm","account_nm","account_detail","2019","2018"
"129","01316227","자본변동표","배당금지급","자본 [member]|지배기업 소유주지분|이익잉여금 [member]","-4315690000",""
"130","01316227","자본변동표","기타","연결재무제표 [member]","-9165657464","-1380530537"
"131","01316227","자본변동표","기타","자본 [member]|비지배지분 [member]","-9161071581","-62589016"
"132","01316227","자본변동표","기타","자본 [member]|지배기업 소유주지분","-4585883","-1317941521"
"133","01316227","자본변동표","기타","자본 [member]|지배기업 소유주지분|기타자본구성요소 [member]","-4585883","-1317941521"
"134","01316227","자본변동표","기말자본","연결재무제표 [member]","582953742969","486901344998"
"135","01316227","자본변동표","기말자본","자본 [member]|비지배지분 [member]","93996077725","83233910030"
"136","01316227","자본변동표","기말자본","자본 [member]|지배기업 소유주지분","488957665244","403667434968"
"137","01316227","자본변동표","기말자본","자본 [member]|지배기업 소유주지분|기타자본구성요소 [member]","-38189950465","-39718358623"
"138","01316227","자본변동표","기말자본","자본 [member]|지배기업 소유주지분|이익잉여금 [member]","102735145299","18973323181"
"139","01316227","자본변동표","기말자본","자본 [member]|지배기업 소유주지분|자본금 [member]","21638410000","21638410000"
"140","01316227","자본변동표","기말자본","자본 [member]|지배기업 소유주지분|주식발행초과금","402774060410","402774060410"
